ip_address,timestamp,request_method,url_accessed,user_agent,response_size,label
192.168.1.104,2026-03-10 22:26:52,GET,/cart,"Mozilla/5.0 (Linux; Android 13; SM-S901B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Mobile Safari/537.36",36598,0
192.168.1.104,2026-03-10 22:26:52,GET,/products,"Mozilla/5.0 (Linux; Android 13; SM-S901B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Mobile Safari/537.36",16422,0
192.168.1.101,2026-03-10 22:26:53,GET,/cart,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",3414,0
192.168.1.102,2026-03-10 22:26:53,GET,/home,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1",30648,0
192.168.1.109,2026-03-10 22:26:53,GET,/cart,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",25777,0
192.168.1.109,2026-03-10 22:26:53,GET,/products,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",43859,0
10.0.0.202,2026-03-10 22:26:54,GET,/seller-dashboard,Python-urllib/3.9,494,1
10.0.0.202,2026-03-10 22:26:54,GET,/category?id=2,Python-urllib/3.9,228,1
10.0.0.202,2026-03-10 22:26:54,GET,/seller-dashboard,Python-urllib/3.9,172,1
10.0.0.202,2026-03-10 22:26:54,GET,/cart-add,Python-urllib/3.9,164,1
10.0.0.202,2026-03-10 22:26:54,GET,/products,Python-urllib/3.9,271,1
10.0.0.202,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,102,1
10.0.0.202,2026-03-10 22:26:54,GET,/categories,Python-urllib/3.9,315,1
10.0.0.202,2026-03-10 22:26:54,GET,/contact-submit,Python-urllib/3.9,429,1
10.0.0.201,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,392,1
10.0.0.202,2026-03-10 22:26:54,GET,/categories,Python-urllib/3.9,239,1
10.0.0.201,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,153,1
10.0.0.202,2026-03-10 22:26:54,GET,/cart-add,Python-urllib/3.9,453,1
10.0.0.201,2026-03-10 22:26:54,GET,/category?id=2,Python-urllib/3.9,248,1
10.0.0.202,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,270,1
10.0.0.201,2026-03-10 22:26:54,GET,/cart-add,Python-urllib/3.9,485,1
10.0.0.202,2026-03-10 22:26:54,GET,/cart-add,Python-urllib/3.9,491,1
10.0.0.202,2026-03-10 22:26:54,GET,/admin-dashboard,Python-urllib/3.9,299,1
10.0.0.202,2026-03-10 22:26:54,GET,/checkout,Python-urllib/3.9,276,1
10.0.0.201,2026-03-10 22:26:54,GET,/cart-add,Python-urllib/3.9,367,1
10.0.0.201,2026-03-10 22:26:54,GET,/register,Python-urllib/3.9,269,1
10.0.0.202,2026-03-10 22:26:54,GET,/search?query=test,Python-urllib/3.9,128,1
10.0.0.201,2026-03-10 22:26:54,GET,/checkout,Python-urllib/3.9,302,1
10.0.0.201,2026-03-10 22:26:54,GET,/search?query=test,Python-urllib/3.9,204,1
10.0.0.202,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,484,1
10.0.0.202,2026-03-10 22:26:54,GET,/cart-add,Python-urllib/3.9,467,1
10.0.0.201,2026-03-10 22:26:54,GET,/cart,Python-urllib/3.9,333,1
10.0.0.202,2026-03-10 22:26:54,GET,/products,Python-urllib/3.9,166,1
10.0.0.202,2026-03-10 22:26:54,GET,/search?query=test,Python-urllib/3.9,231,1
10.0.0.201,2026-03-10 22:26:54,GET,/contact-submit,Python-urllib/3.9,451,1
10.0.0.201,2026-03-10 22:26:54,GET,/products,Python-urllib/3.9,348,1
10.0.0.201,2026-03-10 22:26:54,GET,/products,Python-urllib/3.9,499,1
10.0.0.202,2026-03-10 22:26:54,GET,/login,Python-urllib/3.9,353,1
10.0.0.202,2026-03-10 22:26:54,GET,/contact-submit,Python-urllib/3.9,189,1
10.0.0.202,2026-03-10 22:26:54,GET,/register,Python-urllib/3.9,461,1
10.0.0.202,2026-03-10 22:26:54,GET,/cart-add,Python-urllib/3.9,103,1
10.0.0.202,2026-03-10 22:26:54,GET,/checkout,Python-urllib/3.9,152,1
10.0.0.201,2026-03-10 22:26:54,GET,/login,Python-urllib/3.9,334,1
10.0.0.201,2026-03-10 22:26:54,GET,/checkout,Python-urllib/3.9,486,1
10.0.0.202,2026-03-10 22:26:54,GET,/cart,Python-urllib/3.9,496,1
10.0.0.201,2026-03-10 22:26:54,GET,/seller-dashboard,Python-urllib/3.9,158,1
10.0.0.202,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,224,1
10.0.0.201,2026-03-10 22:26:54,GET,/products,Python-urllib/3.9,232,1
10.0.0.202,2026-03-10 22:26:54,GET,/register,Python-urllib/3.9,486,1
10.0.0.201,2026-03-10 22:26:54,GET,/register,Python-urllib/3.9,125,1
10.0.0.201,2026-03-10 22:26:54,GET,/category?id=2,Python-urllib/3.9,258,1
10.0.0.202,2026-03-10 22:26:54,GET,/products,Python-urllib/3.9,223,1
10.0.0.201,2026-03-10 22:26:54,GET,/checkout,Python-urllib/3.9,310,1
10.0.0.202,2026-03-10 22:26:54,GET,/category?id=2,Python-urllib/3.9,292,1
10.0.0.201,2026-03-10 22:26:54,GET,/seller-dashboard,Python-urllib/3.9,333,1
10.0.0.201,2026-03-10 22:26:54,GET,/contact-submit,Python-urllib/3.9,311,1
10.0.0.202,2026-03-10 22:26:54,GET,/checkout,Python-urllib/3.9,291,1
10.0.0.201,2026-03-10 22:26:54,GET,/products,Python-urllib/3.9,394,1
10.0.0.202,2026-03-10 22:26:54,GET,/seller-dashboard,Python-urllib/3.9,103,1
10.0.0.201,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,465,1
10.0.0.202,2026-03-10 22:26:54,GET,/seller-dashboard,Python-urllib/3.9,124,1
10.0.0.202,2026-03-10 22:26:54,GET,/seller-dashboard,Python-urllib/3.9,410,1
10.0.0.202,2026-03-10 22:26:54,GET,/detail.php?id=1,Python-urllib/3.9,235,1
10.0.0.201,2026-03-10 22:26:54,GET,/search?query=test,Python-urllib/3.9,129,1
10.0.0.202,2026-03-10 22:26:54,GET,/admin-dashboard,Python-urllib/3.9,371,1
10.0.0.201,2026-03-10 22:26:54,GET,/contact-submit,Python-urllib/3.9,417,1
